deal_id,announcement_date,deal_status,targetissuer_name,buyer_name,deal_size_mm_usd,deal_type,transaction_type,sector_targetissuer,country_targetissuer,rbics_industrysector_targetissuer,industry_targetissuer,region_targetissuer,completion_date,business_description_targetissuer,state_or_province_targetissuer,country_buyerinvestor,transaction_value_at_completion_mm,disclosed_premiums,30_days_premium_,evebit,evebitda,evrevenue,ebitda_ltm_mm_usd_targetissuer,ebit_ltm_mm_targetissuer,sales_mm_usd_targetissuer,factset_sector_buyerinvestor,factset_industry_buyerinvestor,rbics_industry_group_buyerinvestor,priceearnings_pe,priceebit,priceebitda,pricerevenue,year,month,quarter
4262165MM,2025-09-30,Completed,Energiekontor AG /Würselen Wind Park/,SachsenEnergie Naturkraft GmbH,,M&A,Acquisition / Merger,Utilities,Germany,Other International Wholesale Power,Alternative Power Generation,Europe,2025-09-30,,,Germany,,No,,,,,,,,Utilities,Electric Utilities,Other International Wholesale Power,,,,,2025,9,3
4262177MM,2025-09-30,Completed,Abo Energy Gmbh & Co. Kgaa /48mw Wind Farm/,Encavis AG,,M&A,Acquisition / Merger,Utilities,Germany,Other International Wholesale Power,Alternative Power Generation,Europe,2025-09-30,,,Germany,,No,,,,,,,,Utilities,Alternative Power Generation,Other International Wholesale Power,,,,,2025,9,3
4263942MM,2025-09-30,Completed,DF Deutsche Finance Holding AG,DF Deutsche Finance Holding AG /Winter/,,M&A,Minority Stake,Finance,Germany,Diversified Investment,Financial Conglomerates,Europe,2025-09-30,"DF Deutsche Finance Holding AG is a German finance group that allows investors to invest in international market opportunities. The company is based in Munich, DE, and has subsidiaries in the United States and Germany. The German company's focus is on creating investment opportunities where they arise. The CEO of the private company is Thomas Oliver-Mueller.",Bayern (Bavaria),Germany,,No,,,,,,,,Finance,Financial Conglomerates,Investment Holding Companies,,,,,2025,9,3
4261890MM,2025-09-26,Completed,Bloom Healthtech GmbH,Arsipa GmbH,,M&A,Acquisition / Merger,Technology Services,Germany,Healthcare Administrative Support Services,Packaged Software,Europe,2025-09-26,"Part of Arsipa GmbH, Bloom Healthtech GmbH is a German company that develops digital health software. The company is located in Germany. Bloom Healthtech was acquired by Arsipa GmbH on September 26, 2025.",,Germany,,No,,,,,,,,Technology Services,Packaged Software,Enterprise Management Software,,,,,2025,9,3
4262015MM,2025-09-26,Completed,Kraftwerke Mainz Wiesbaden AG /Seewald Wind Farm/,Erneuerbare Energien Fabrik GmbH,,M&A,Acquisition / Merger,Utilities,Germany,Other International Wholesale Power,Electric Utilities,Europe,2025-09-26,,,Germany,,No,,,,,,,,Technology Services,Packaged Software,Other International Wholesale Power,,,,,2025,9,3
4262106MM,2025-09-26,Completed,Rivolution GmbH,"Miura Partners SGEIC SA, Saesco Medical SL",,M&A,Acquisition / Merger,Distribution Services,Germany,Healthcare Distributors,Medical Distributors,Europe,2025-09-26,"Part of Saesco Medical SL, Rivolution GmbH is a German medical technology company specializing in innovative, high-standard products primarily in regenerative medicine and surgical solutions. The company is based in Rosenheim, Germany. The company was founded in 2018 by Thomas Geir. Thomas Geir has been the CEO since 2018. Rivolution was acquired by Saesco Medical SL on September 26, 2025.",Bayern (Bavaria),"Spain, Spain",,No,,,,,,,,"Finance, Distribution Services","Investment Managers, Medical Distributors","Investment Holding Companies, Healthcare Distributors",,,,,2025,9,3
4261905MM,2025-09-25,Completed,IT-Choice Software GmbH,"synava GmbH, Bu Bregal Unternehmerkapital AG",,M&A,Acquisition / Merger,Technology Services,Germany,Healthcare Administrative Support Services,Packaged Software,Europe,2025-09-25,"Part of synava GmbH, IT-Choice Software GmbH is a German company that specializes in developing customized software solutions for the healthcare sector, particularly focusing on cancer registration and tumor documentation. The company is based in Karlsruhe, Germany. IT-Choice Software was acquired by synava GmbH on September 25, 2025.",Baden Wuerttemberg,"Germany, Switzerland",,No,,,,,,,,"Technology Services, Finance","Packaged Software, Financial Conglomerates","Other Healthcare Support Services, Diversified Investment",,,,,2025,9,3
4263616MM,2025-09-25,Completed,Nuvio Planet GmbH,Nuvio Planet GmbH /Management/,,M&A,Acquisition / Merger,Technology Services,Germany,Enterprise Management Software,Packaged Software,Europe,2025-09-25,,Berlin,Germany,,No,,,,,,,,Finance,Financial Conglomerates,Investment Holding Companies,,,,,2025,9,3
4261360MM,2025-09-24,Completed,Masterplan com GmbH,Amadeus FiRe AG,23.592,M&A,Acquisition / Merger,Technology Services,Germany,Administrative Services,Packaged Software,Europe,2025-09-24,"Masterplan com GmbH develops e-Learning courses. The company was founded by Stefan Peukert and Daniel Schütt and is headquartered in Bochum, Germany.",Rheinland-Pfalz,Germany,23.592,No,,-5.200228,-5.258127,,-4.486769,-4.536724,,Commercial Services,Personnel Services,Administrative Services,,-5.200228,-5.258127,,2025,9,3
4262099MM,2025-09-24,Completed,Eucon GmbH,Infopro Digital Automotive,,M&A,Acquisition / Merger,Technology Services,Germany,Automotive Services,Packaged Software,Europe,2025-09-24,"Eucon GmbH provides data and process digitalization services. It specializes in the automotive, insurance and real estate industries. The company was founded by Marcel Oosenbrugh and Maurice Oosenbrugh in 1997 and is headquartered in Münster, Germany.",Nordrhein-Westfalen,France,,No,,,,,1.968962,-6.264026,,Technology Services,Packaged Software,Automotive Services,,,,,2025,9,3
